parsedSentence,claim,property
Â LOCATION_SLOT NUMBER_SLOT %,not_about_economic_statistics,not_about_economic_statistics
"It 's predicted that LOCATION_SLOT 's population will shrink to 3.1 million by 2050 , after reaching its peak of NUMBER_SLOT in 1991 .",claim,population
"Foreigners employed in LOCATION_SLOT , however , only increased from 1.6 to 2.2 million in 1994 -LRB- see figure NUMBER_SLOT -RRB- .",not_claim,statistic_not_listed
"Ã Â h Jacobzone , S. , Ã Â ¡ Ã Â § An Overview of International Perspectives in the Field of Ageing and Care for Frail Elderly PersonsÃ Â ¡ Ã Å ¡ , Labour Market and Social Policy Occasional Papers , No. NUMBER_SLOT , OECD , LOCATION_SLOT , 1999 .",not_about_economic_statistics,not_about_economic_statistics
-LRB- also known in LOCATION_SLOT as the â $ Maracanazoâ $ -RRB- occurred on NUMBER_SLOT,not_about_economic_statistics,not_about_economic_statistics
"In June 1990 , American inn-keeper Michael DeVine vanished while inspecting the grounds of his ranch outside LOCATION_SLOT , NUMBER_SLOT miles north of Guatemala City .",not_about_economic_statistics,not_about_economic_statistics
In comparison to the LOCATION_SLOT the US rate is three times higher or 43 deaths per million compared to NUMBER_SLOT per million .,claim,statistic_not_listed
DK Basu V State of LOCATION_SLOT ; -LRB- 1997 -RRB- NUMBER_SLOT SCC 416 ; AIR 1997 SC 610,not_about_economic_statistics,not_about_economic_statistics
"Nicaragua occupies a landmass of NUMBER_SLOT km2 -LRB- 50,567 sq mi -RRB- , comparable to that of Greece or the state of LOCATION_SLOT .",not_about_economic_statistics,not_about_economic_statistics
"While there will no change in price of petrol in Delhi , LOCATION_SLOT would see an increase of Rs2 .52 a litre to Rs76 NUMBER_SLOT per litre .",not_claim,gas_price_liter
"In 2012 the life expectancy in LOCATION_SLOT increased to 63.56 years.That year , the life expectancy for women was 65.16 years and for men NUMBER_SLOT years .",claim,life_expectancy
"The LOCATION_SLOT spends 9.3 % of GDP on healthcare , while the United State spends the most at NUMBER_SLOT % .",not_claim,health_expenditure_as_percent_of_gdp
"As of March 21 , NUMBER_SLOT LOCATION_SLOT personnel remained a part of UNMIH .",not_about_economic_statistics,not_about_economic_statistics
"-LSB- 43 -RSB- -LSB- NUMBER_SLOT -RSB- -LSB- 45 -RSB- LOCATION_SLOT has successfully managed to diminish deforestation from some of the worst rates in the world from 1973 to 1989 , to almost zero by 2005 .",not_about_economic_statistics,not_about_economic_statistics
The Life expectancy rate at birth in LOCATION_SLOT is NUMBER_SLOT years .,claim,life_expectancy
Â LOCATION_SLOT Â -LRB- + NUMBER_SLOT -RRB-,not_about_economic_statistics,not_about_economic_statistics
This Stateside Puerto Rican growth rate was significantly higher than the NUMBER_SLOT percent population growth occurring in LOCATION_SLOT during this same period .,claim,population_growth_rate
"After the country obtained the right to unlimited armaments on the basis of the Treaty of Saloniki -LRB- signed on 31/07/1938 -RRB- , by the end of 1940 LOCATION_SLOT had around 300 combat aircraft , NUMBER_SLOT seaplanes , nine military airfields , two naval air bases , and two aircraft manufacturing facilities .",not_about_economic_statistics,not_about_economic_statistics
"See LOCATION_SLOT Embassy-Yaounde , unclassified telegram no. NUMBER_SLOT .",not_about_economic_statistics,not_about_economic_statistics
"- $ NUMBER_SLOT - I want Travel Visa Pro to pickup and deliver to/from my location -LRB- only NY , DC , SF , LOCATION_SLOT , HOU -RRB- .",not_about_economic_statistics,not_about_economic_statistics
Our car trip to LOCATION_SLOT took around 40 minutes ; the distance from Comalapa International Airport to the capital city is less than NUMBER_SLOT kms .,not_about_economic_statistics,not_about_economic_statistics
"The procedure remains difficult , potentially lengthy -LRB- 24 months -RRB- , and one of the most expensive -LRB- NUMBER_SLOT euros -RRB- , especially for LOCATION_SLOT .",not_about_economic_statistics,not_about_economic_statistics
"LOCATION_SLOT covers an area of approximately 57,000 square kilometres with a population of approximately NUMBER_SLOT .",claim,population
Suppose that rate of growth of real GDP per capita in LOCATION_SLOT is NUMBER_SLOT % per year and in Westova it is 6.34 % per year .,not_claim,statistic_not_listed
"Germany -LRB- 18.2 -RRB- , France -LRB- 16.4 -RRB- , LOCATION_SLOT -LRB- NUMBER_SLOT -RRB-",not_about_economic_statistics,not_about_economic_statistics
Most entities are compared with the entire LOCATION_SLOT or one of the NUMBER_SLOT states based on area measurements -LRB- 1990 revised -RRB- provided by the US Bureau of the Census .,not_about_economic_statistics,not_about_economic_statistics
"Nations responsible for the low use rate in the Central Region are mainly Angola , followed by the LOCATION_SLOT and Congo , their actually irrigated area being 44 , 51 and NUMBER_SLOT % , respectively .",not_claim,statistic_not_listed
"Clashes continue in LOCATION_SLOT , NUMBER_SLOT dead",not_about_economic_statistics,not_about_economic_statistics
"^ `` Desempleo en LOCATION_SLOT es de 3,2 % de la PoblaciÃ Â ³ n Activa '' -LSB- Unemployment in Bolivia is NUMBER_SLOT % of the Active Population -RSB- .",claim,unemployment_rate
"For example , a survey conducted by SKDS -LRB- Public Opinion on Manpower Migration : Opinion Poll of Latviaâ $ s Population -RRB- in January 2006 revealed that about NUMBER_SLOT percent of LOCATION_SLOT residents see themselves as being either â $ very likelyâ $ or â $ somewhat likelyâ $ to go to another country for work â $ in the next two yearsâ $ .",not_about_economic_statistics,not_about_economic_statistics
"In 2010 , LOCATION_SLOT deployed the first contingent of NUMBER_SLOT soldiers to Afghanistan in support of the British Armed Forces ' efforts in the International Security Assistance Force .",not_about_economic_statistics,not_about_economic_statistics
The average value for St. Vincent & the Grenadines during that period was 6853.2 U.S. dollars with a minumum of 3231.99 U.S. dollars in 1980 and a maximum of NUMBER_SLOT LOCATION_SLOT dollars in 2008 .,not_about_economic_statistics,not_about_economic_statistics
"Health expenditure ; total -LRB- % of GDP -RRB- in LOCATION_SLOT was last measured at NUMBER_SLOT in 2010 , according to the World Bank .",claim,health_expenditure_as_percent_of_gdp
"The impact of this is that in non-industrialized economies , such as the LOCATION_SLOT and Europe during the early 19th century , overall unemployment was approximately NUMBER_SLOT % because so many individuals were self-employed , independent farmers ; yet , unemployment outside of agriculture was as high as 80 % .",not_claim,unemployment_rate
During the year consumer prices rose by NUMBER_SLOT % -LRB- Central Statistical Bureau of LOCATION_SLOT -RRB-,claim,cpi_inflation_rate
"Figure NUMBER_SLOT reflects the importance of copper ores in the EU-27Ã cents Â $ Â s imports of all metalliferous ores from LOCATION_SLOT , from 2000 to 2010 -LRB- between 65Â % and 75Â % Ã cents Â $ Â `` apart from a sharp drop to 46Â % in 2005 , attributable to a sudden rise in the prices of other metalliferous ores -RRB- .",not_claim,statistic_not_listed
"There are NUMBER_SLOT types of labor participation in LOCATION_SLOT , National labor and foreign labor .",not_claim,not_about_economic_statistics
"For example , a chocolate bar that sells for C$ 1.50 in a Canadian city should cost US$ NUMBER_SLOT in a U.S. city when the exchange rate between LOCATION_SLOT and the U.S. is 1.50 USD/CDN .",not_claim,statistic_not_listed
LOCATION_SLOT Statistics today published CPI inflation numbers for July : the rate of increase in consumer prices slowed for the second consecutive month to 4.6 % y/y down from 4.8 % y/y in June ; on a monthly basis consumer prices declined by NUMBER_SLOT % m/m .,claim,statistic_not_listed
â $ Performance of microscopy and RDTs in the context of a malaria prevalence survey in LOCATION_SLOT : a comparison using PCR as the gold standard.â $ Malar J. 2013 Aug 13 ; 12 -LRB- NUMBER_SLOT -RRB- :284 .,not_about_economic_statistics,not_about_economic_statistics
"Import Partners : Trinidad and Tobago 27.8 % , US NUMBER_SLOT % , LOCATION_SLOT 6 %",not_claim,statistic_not_listed
