,actual_property_label,claim_label,mape_label,parsed_sentence,predicted_label,property_prediction,random_label
0,/location/statistical_region/consumer_price_index,1,1,"LOCATION_SLOT Consumer price index -LRB- 2005 = 100 -RRB- 2012 : NUMBER_SLOT , Index , 2005 = 100",0,no_region,1
1,no_region,0,0,"The latest value for Health expenditure per capita , PPP -LRB- constant 2005 international $ -RRB- in LOCATION_SLOT was NUMBER_SLOT as of 2011 .",0,/location/statistical_region/gni_per_capita_in_ppp_dollars,1
2,no_region,0,0,"In fact , there was a public announcement about the HIV status of the person who was later deported from Lesotho .3 1.2 Demography LOCATION_SLOT has an estimated population of 1.8 million NUMBER_SLOT The overall adult prevalence rate was estimated to be Ãƒ Ã‚ ...",1,/location/statistical_region/population,1
3,/location/statistical_region/gdp_growth_rate,1,1,"LOCATION_SLOT GDP growth -LRB- annual % -RRB- 2012 : NUMBER_SLOT , Percent change",0,/location/statistical_region/gdp_growth_rate,0
4,no_region,0,1,Ìâ LOCATION_SLOT | | NUMBER_SLOT,0,no_region,1
5,/location/statistical_region/population,1,0,"Per the CIA World Factbook , the population of LOCATION_SLOT is NUMBER_SLOT .",0,/location/statistical_region/population,1
6,no_region,0,1,Ìâ LOCATION_SLOT | | NUMBER_SLOT,0,no_region,1
7,no_region,0,1,Ìâ LOCATION_SLOT | | NUMBER_SLOT,0,no_region,1
8,/location/statistical_region/gdp_nominal,1,1,The latest value for GDP -LRB- current US$ -RRB- in LOCATION_SLOT was $ NUMBER_SLOT as of 2011 .,1,no_region,1
9,/location/statistical_region/consumer_price_index,1,1,"LOCATION_SLOT Consumer price index -LRB- 2005 = 100 -RRB- 2012 : NUMBER_SLOT , Index , 2005 = 100",0,no_region,1
10,no_region,0,0,Currently the Population of LOCATION_SLOT is NUMBER_SLOT Million with Population growth rate of 0.978 % .,1,/location/statistical_region/population,1
11,/location/statistical_region/population,1,0,The population of LOCATION_SLOT in 2003 was estimated by the United Nations at NUMBER_SLOT .,1,/location/statistical_region/population,0
12,no_region,0,1,"According to the latest WHO data published in April 2011 life expectancy in LOCATION_SLOT</location> is : Male NUMBER_SLOT , female NUMBER_SLOT and total life expectancy is 75.2 which gives Syria a World Life Expectancy ranking of 59 .",1,/location/statistical_region/life_expectancy,0
13,/location/statistical_region/cpi_inflation_rate,1,1,Inflation -LRB- Average Consumer Price Change % -RRB- for LOCATION_SLOT in year 2013 is NUMBER_SLOT % .,1,/location/statistical_region/diesel_price_liter,1
14,/location/statistical_region/population,1,1,"Situated at the heart of South East Asia and Indochina , LOCATION_SLOT has a population of NUMBER_SLOT , and GDP growth rate exceeding 7 % in 2013 .",0,/location/statistical_region/gdp_growth_rate,0
15,/location/statistical_region/gni_per_capita_in_ppp_dollars,1,1,GNI ... PPP -LRB- current international $ -RRB- in LOCATION_SLOT was NUMBER_SLOT as of 2011 .,0,/location/statistical_region/gni_per_capita_in_ppp_dollars,1
16,no_region,0,0,"The latest value for GDP per capita , PPP -LRB- current international $ -RRB- in LOCATION_SLOT was NUMBER_SLOT as of 2011 .",0,/location/statistical_region/gdp_nominal_per_capita,0
17,/location/statistical_region/renewable_freshwater_per_capita,1,1,"LOCATION_SLOT Renewable internal freshwater resources per capita -LRB- cubic meters -RRB- 2011 : NUMBER_SLOT , Cubic meters",0,no_region,0
18,/location/statistical_region/gni_per_capita_in_ppp_dollars,1,0,"The latest value for GNI per capita , PPP -LRB- constant 2005 international $ -RRB- in LOCATION_SLOT was NUMBER_SLOT as of 2011 .",0,/location/statistical_region/gni_per_capita_in_ppp_dollars,0
19,no_region,0,1,"The latest value for GDP per capita , PPP -LRB- constant 2005 international $ -RRB- in LOCATION_SLOT was NUMBER_SLOT as of 2011 .",0,/location/statistical_region/gni_per_capita_in_ppp_dollars,0
20,no_region,0,0,"According to the latest WHO data published in April 2011 life expectancy in LOCATION_SLOT</location> is : Male NUMBER_SLOT , female NUMBER_SLOT and total life expectancy is 59.6 which gives Afghanistan a World Life Expectancy ranking of 155 .",1,/location/statistical_region/life_expectancy,1
21,no_region,0,1,"China 46.6 % , Italy 8.8 % , France 8.1 % , Cote dIvoire NUMBER_SLOT</number></number> % , LOCATION_SLOT 4.6 % , LOCATION_SLOT 4.5 % , LOCATION_SLOT 4.3 % , Netherlands 4 % -LRB- 2011 -RRB-",1,/location/statistical_region/health_expenditure_as_percent_of_gdp,0
22,/location/statistical_region/gdp_nominal,1,1,Japan GDP Ìâ - Ìâ The Gross Domestic Product -LRB- GDP -RRB- in LOCATION_SLOT was worth NUMBER_SLOT US dollars in 2012 .,0,/location/statistical_region/cpi_inflation_rate,1
23,/location/statistical_region/gni_per_capita_in_ppp_dollars,1,1,"The latest value for GNI per capita , PPP -LRB- current international $ -RRB- in LOCATION_SLOT was NUMBER_SLOT as of 2011 .",0,/location/statistical_region/gni_per_capita_in_ppp_dollars,0
